"FareType","originX","originY","destX","destY","MaxWait","MaxCost"
"rich",10,35,18,32,46.0891858324476,3.9718309764205344
"default",37,15,27,40,285.74157208594977,130
"default",44,15,21,29,279.0108103346824,130
"default",10,21,49,30,406.23978401063437,200
"normal",20,30,27,27,17.1804400210612,22.073938065043556
"default",41,13,20,21,233.53751496588615,110
"normal",24,24,24,28,35.28582725399834,12.923925790675796
"default",29,15,30,17,24.34376350767117,10
"normal",24,35,25,25,25.060192860428746,54.7711558072363
"default",18,40,26,21,211.70988434279278,100
"default",10,32,30,29,205.69780467484122,100
"default",10,37,40,1,474.84296271333415,230
"default",24,27,11,34,157.3995430941969,70
"hurry",40,15,20,0,5.838898744021144,50
"default",47,47,22,27,324.628561067231,160
"default",13,10,9,9,49.242916591658656,20
"default",13,34,27,40,160.60276505190765,80
"default",1,48,20,0,539.8461757011796,260
"budget",15,40,0,0,471.98586818254967,854.4003745317531
"default",10,38,10,36,20.759572472649115,10
"default",27,38,29,40,37.81832601993028,10
"default",3,10,4,35,259.6467848583975,130
"default",34,20,42,42,245.53878567704032,120
"rich",10,10,18,40,15.08248924253166,1.369745296248476
"default",40,3,30,26,266.53692658311985,130
"normal",10,35,24,27,15.566386851462024,102.93772789358242
"default",10,26,11,24,24.6034709612267,10
"default",5,35,14,10,269.5444746350805,130
"default",40,6,5,35,455.51999526848965,230
"default",29,29,25,23,83.15939707807676,40
"hurry",24,35,0,0,3.381621170869233,50
"default",1,35,20,3,378.2802838989001,190
"normal",49,30,22,27,10.439962745385898,52.87410948586138
"default",20,9,40,31,309.71610568437194,150
"budget",40,15,20,0,331.2971444898599,500.0
"normal",10,10,24,27,19.744581434444637,131.8044919415396
"default",28,38,40,14,271.07637981908573,130
"default",18,39,16,24,165.2699064528004,80
"default",30,26,20,25,104.21335232824873,50
"default",24,23,22,24,47.45140066833604,10
"default",30,25,30,28,47.06115431404211,20
"opportune",20,20,23,23,6.373546750544416,143.19336084267772
"rich",24,24,15,42,49.28350716483266,13.98941624839873
"default",26,24,27,32,84.9471723626486,40
"default",16,40,27,38,113.71286512128961,60
"default",40,39,20,15,320.1595266736186,160
"default",15,10,26,24,180.75571301555362,90
"default",27,20,49,30,251.85778166310592,120
"default",21,29,25,40,125.96815666708048,60
"default",28,24,23,24,60.30423770451709,20
"default",30,17,9,41,327.81286440379233,160
"normal",24,24,25,25,34.92036563568671,2.6026544616902316
"default",13,20,24,30,158.242272805946,70
"default",48,15,20,13,284.2831960338121,140
"default",15,44,10,10,355.5042563730848,170
"default",28,17,40,14,127.41516890315005,60
"default",8,42,30,42,222.37876628337798,110
"budget",30,40,0,0,541.4517226095231,1000.0
"default",14,34,15,42,87.49082859192896,40
"default",37,25,28,18,129.0904182716949,60
"budget",24,24,20,0,273.0917441670139,486.62100242385753
"default",40,17,14,10,273.066438673325,130
"default",9,10,40,13,315.74709018282016,160
"default",44,8,15,40,442.3337068374545,220
"budget",40,30,20,0,421.21692141348683,721.1102550927978
"default",36,15,13,10,238.56054822545158,120
"default",29,40,20,7,350.2913399155902,170
"default",8,10,10,34,242.98852169801413,120
"default",43,10,13,24,339.82895006010904,170
"default",4,45,7,7,397.39468980671194,190
"budget",40,40,20,0,482.0135646862478,894.4271909999159
"default",32,17,19,24,158.7336855567614,70
"default",15,42,22,33,119.04545133622597,60
"default",5,10,2,10,44.05322843929618,20
"default",45,45,32,17,337.3595948025285,150
"default",43,43,27,20,283.29521101563165,140
"default",19,10,17,32,224.9321002539086,110
"default",13,24,5,10,166.35404436402283,80
"rich",20,30,24,29,25.152055172426927,7.130527081016385
"default",15,48,40,23,374.81465325140647,180
"default",39,15,5,5,363.3447156774577,180
"normal",20,0,24,25,39.490292013095456,114.52247030048402
"normal",10,35,27,24,19.025224419372,51.74047927810486
"default",42,30,21,28,222.06262212088888,110
"rich",20,30,25,22,47.7821259022771,6.1981723223739005
"default",1,1,20,2,210.06752558660096,100
"default",6,10,30,42,401.48997711773126,200
"default",27,32,10,15,245.72404580316967,120
"default",33,15,40,14,74.1284081151405,40
"default",40,20,10,15,311.18600537874653,150
"default",40,25,45,6,214.72216096885873,100
"default",25,36,12,10,300.4986198490813,150
"default",9,41,15,47,100.12626726336636,40
"default",12,34,17,20,151.36598261121688,70
"budget",30,15,0,0,379.83278210862983,670.8203932499368
"default",10,30,20,9,235.09476332645522,120
"default",32,15,36,15,42.19476632514716,20
"default",14,20,21,11,121.61095365661936,60
"default",24,30,40,4,312.8833339967987,150
"default",38,15,27,32,208.6238025122692,100
"default",24,28,11,20,163.3462750682209,80
"default",26,40,25,40,17.346592785412554,0
"budget",20,20,20,0,254.91407863142845,400.0
"default",40,29,40,12,182.5447942678503,80
"default",18,32,42,12,320.54671466908144,160
"default",43,15,40,6,112.77868020842817,50
"default",30,42,30,46,46.18708843549313,20
"default",37,40,26,24,196.4266261333865,100
"default",24,25,38,40,209.808916957147,100
"default",40,11,23,16,185.62087420217853,90
"default",12,20,42,42,383.32223975343317,190
"default",10,33,40,12,371.5735542204815,180
"default",18,40,3,3,413.85620009079486,200
"normal",49,15,26,21,32.227149592559165,52.18554471185175
"default",20,1,14,10,128.32854148636167,50
"default",25,40,23,40,29.885872070210866,10
"default",24,40,20,1,395.91691289154795,200
"default",32,15,30,44,294.4426809614726,150
"random",10,10,40,36,53.69563653933708,384.15774263090924
"default",12,10,32,40,372.42103499646316,180
"default",28,24,28,17,76.38954032011281,40
"default",12,37,17,40,64.0921413372505,30
"default",20,17,5,44,316.76311258687053,150
"default",20,4,40,11,227.69575612570725,110
"default",20,21,9,10,187.41160280663334,80
"default",40,2,23,24,286.7466082232799,140
"default",26,37,25,15,235.50188611744267,110
"normal",20,0,28,24,17.62242458352087,57.39870447062042
"default",35,15,24,33,226.92824811761125,110
"default",15,43,28,40,135.53434304207622,70
"default",24,23,20,11,138.05900490759032,60
"normal",0,49,26,26,26.64610736490797,47.79933409068366
"default",14,40,19,10,314.3444618561696,150
"normal",24,35,26,24,26.867670833363153,26.330292389483443
"default",13,38,9,9,305.3723901796783,150
"default",24,20,30,16,76.0227328037747,40
"default",16,24,25,24,99.23220030279714,40
"default",21,11,20,30,203.98841174955837,100
"default",29,15,10,39,314.4695554242202,150
"default",15,24,20,16,106.47956944324758,50
"default",40,12,22,40,353.76898656167424,170
"default",21,21,24,15,81.3399823921955,30
"default",4,10,25,25,268.82523656784747,130
"default",15,42,40,1,488.65019479023675,240
"default",30,22,17,32,175.27077185529274,80
"default",15,41,14,39,30.249466127057346,10
"default",20,3,40,25,302.3361049323439,150
"default",3,3,30,47,516.6920118471185,260
"default",30,46,28,38,95.7695410267391,40
"default",10,28,47,2,456.4974302909254,230
"default",22,37,42,30,233.78844729599157,110
"default",36,40,20,40,170.5135310401069,80
"default",14,39,10,18,227.18144072103064,110
"default",9,35,40,11,393.96714609174376,200
"budget",0,0,0,0,87.84381834056296,0.0
"default",24,33,41,14,264.6314342706315,130
"normal",24,24,25,23,22.002610761497635,1.7380134635730426
"default",10,19,15,43,254.9833314055894,120
"default",10,34,16,33,63.630626520056374,30
"default",45,6,30,18,205.20498359173254,100
"default",26,21,20,38,197.33726418685683,90
"default",42,12,40,18,69.9751919347885,30
"default",8,8,48,15,423.557895189839,200
"default",24,22,24,29,76.44836128332088,40
"default",40,19,33,18,87.00183744511479,40
"default",2,2,15,40,412.26512330399834,200
"budget",10,40,0,0,443.34359862907314,824.6211251235321
"default",3,10,30,46,463.65199763850717,220
"default",17,20,10,30,138.2097836971438,60
"default",21,19,31,16,125.2422269476485,50
"default",26,24,47,15,234.06677221720926,110
"budget",24,15,0,0,348.6783834521474,566.0388679233962
"random",40,15,20,8,53.645220355802095,956.7740005738915
"hurry",30,30,20,0,23.646910057083748,50
"default",10,16,24,30,201.0000434738342,100
"rich",0,35,43,9,39.07062579776432,6.526299813943989
"default",22,22,17,10,134.08507108405323,60
"default",2,35,40,6,482.4996827392024,240
"default",19,24,1,48,308.0467257597907,150
"default",40,32,40,35,51.905647483781664,20
"normal",24,24,24,24,32.25977676135088,0.0
"budget",24,24,20,0,293.86555862262134,486.62100242385753
"default",20,12,12,20,119.11993699825946,60
"default",30,47,24,21,288.79611107358556,130
"default",27,19,45,6,232.21682819759857,110
"default",48,15,23,14,255.1102956681714,130
"default",40,31,18,24,258.94588796842555,120
"default",29,24,44,44,252.57657823179616,120
"default",47,47,24,21,357.6643818417398,170
"default",10,39,40,38,312.01759415374266,150
"default",5,35,25,23,238.4581807929104,120
"default",28,15,20,9,102.37171158178987,50
"default",40,34,35,15,207.60183962218906,100
"default",13,20,40,21,281.06516170402335,140
"default",42,15,24,29,246.36028035738036,110
"normal",10,10,22,27,41.62840015455736,123.81392386833194
"default",10,30,8,35,59.9929093012303,30
"hurry",30,49,0,0,13.555327609351,50
"default",41,15,15,44,403.3685123290126,190
"default",40,36,45,45,110.47656640368504,50
"default",34,20,16,20,186.4242882428624,90
"default",23,40,43,30,236.5547777901447,110
"hurry",49,30,20,0,0.24632241244188544,50
"default",19,38,28,15,249.4400793286652,120
"default",32,17,24,31,167.6847639017265,80
"default",19,10,40,31,304.10831019882704,150
"rich",10,20,40,10,57.63501631072499,10.035298379163478
"default",2,10,10,16,108.6779817597001,50
"default",12,40,43,43,322.61523112209824,160
"default",33,15,10,21,257.68403274743656,120
"default",23,24,24,34,115.41064649301077,50
"default",40,22,28,38,211.58200730970628,100
"default",10,13,24,40,311.64234890145156,150
"normal",15,40,24,27,46.48707754142107,59.898491395969735
"default",20,9,30,29,250.1244956493194,110
"default",13,10,10,37,274.87295705538173,140
"default",30,19,47,3,237.43696611223328,120
"default",20,15,24,28,142.58151206111603,70
"default",15,46,45,6,505.15094583616843,250
"default",46,30,5,10,462.937883303187,230
"default",20,27,30,30,108.94501932489948,50
"normal",20,20,24,27,30.978287893072054,41.17166675267399
"budget",10,35,20,0,424.1471669407238,728.0109889280518
"default",21,19,22,27,102.89560635694488,40
"default",39,40,39,40,19.962935757602818,0
"default",21,37,40,17,282.0218448021796,140
"default",6,35,19,20,202.66939994521718,100
"default",24,20,24,27,76.04788556681972,40
"default",45,45,40,20,256.59043341525796,130
"budget",49,49,20,0,612.3092520417837,1138.7712676389406
"rich",20,30,24,25,30.85815486793741,4.2281210165454315
"opportune",10,20,26,24,7.873735429379917,477.69446197877704
"default",15,47,40,3,524.4063118823861,250
"default",10,36,17,10,295.2474622695882,130
"default",20,25,10,30,122.4879962932571,60
"default",25,24,15,45,243.64603645919306,120
"default",5,44,16,20,270.3834441914844,130
"default",40,32,33,15,204.00605454023653,90
"default",10,14,9,9,63.13087582307037,30
"default",38,27,30,21,111.79823270841811,50
"default",44,30,0,35,451.24841801918285,220
"normal",24,35,27,24,32.29402469051486,52.489883776533816
"default",17,20,30,40,245.19691615110875,120
"default",10,26,48,1,458.68976708449736,230
"default",40,11,45,15,87.8857739925058,30
"default",20,29,37,25,184.78161151721622,90
"default",25,25,10,23,158.35122529967916,80
"default",40,3,42,15,122.89242284478941,60
"default",37,15,10,19,279.68447993682025,140
"default",44,8,15,24,337.12123129710966,170
"default",11,34,48,15,423.24378008875425,210
"default",11,40,22,24,196.79584092352673,100
"default",21,40,40,26,247.47772022839914,120
"default",29,31,10,24,211.7748808384343,100
"default",38,28,38,40,128.82800124904108,60
"default",12,10,15,44,351.266060899236,170
"default",28,17,8,42,323.31500154581914,160
"default",30,41,10,21,285.91704192545905,140
"default",45,15,28,28,222.04127401009552,110
"default",28,28,24,20,93.19288306658034,40
"default",30,46,22,26,222.8998512141038,110
"normal",20,0,27,27,24.585484054054557,103.41252245528898
"default",15,44,15,49,65.98999576831059,20
"normal",24,35,28,24,18.736998121973123,18.35045821242357
"default",23,25,36,24,133.42195677376688,70
"budget",30,15,0,0,391.72006608499686,670.8203932499368
"default",18,40,40,25,274.7614209890462,130
"default",29,15,21,31,194.41972592200375,90
"default",23,14,20,40,274.5818759444096,130
"default",35,23,20,38,231.40096248002786,110
"default",28,32,36,24,116.32878040351163,60
"default",16,33,44,15,333.4494767613991,170
"default",20,26,40,18,219.5517282728173,110
"budget",15,40,0,0,476.8935939164577,854.4003745317531
"hurry",49,0,0,0,14.558692022175352,50
"hurry",30,40,0,0,45.61106828446542,50
"default",37,25,29,31,108.97696685522719,50
"default",24,17,27,32,165.78275329681605,80
"default",10,33,30,27,210.7081199820478,100
"hurry",0,10,20,0,7.421310551069164,50
"default",48,48,24,27,329.53247035528403,160
"budget",24,24,20,0,316.8171302865527,486.62100242385753
"default",27,15,27,15,20.093659805886574,0
"default",22,13,28,15,89.9280005688211,30
"default",39,15,10,32,343.06959996289123,170
"budget",40,30,20,0,419.3354985083529,721.1102550927978
"default",25,40,43,15,314.36498558394817,150
"default",32,17,44,7,161.75503351501484,80
"default",42,30,23,14,251.54188203897525,120
"default",40,24,38,28,97.07236169291455,20
"default",40,31,36,15,188.923052950846,80
"default",21,19,46,46,376.71059305051176,180
"default",25,34,33,19,172.57383060932338,80
"default",6,6,20,5,142.52886733106465,70
"default",14,39,15,40,26.791350933504834,10
"default",21,24,20,0,246.12866951602098,120
"default",22,22,0,49,381.0931925724412,170
"default",8,10,10,38,285.9139281311089,140
"default",42,11,17,10,254.67141408095972,130
"default",43,9,42,15,69.81742814055019,30
"default",16,24,5,10,181.15201873521946,90
"default",20,25,20,9,172.75123374803846,80
"default",24,27,26,40,136.70455127270873,70
"default",36,15,33,15,35.945587521651596,20
"default",15,10,24,40,315.90234049014026,160
"default",4,10,21,19,222.38759428031872,100
"default",20,4,20,13,93.05183452610612,40
"default",10,25,17,40,173.28337941436772,80
"default",27,27,18,24,101.27244033542131,50
"default",15,48,10,11,377.69636182501813,190
"default",43,15,30,43,315.2890196771094,150
"default",26,40,24,31,110.23448138818348,50
"default",26,37,27,27,115.04535626955538,50
"default",13,34,10,12,227.96087636507292,110
"default",9,35,20,29,139.1927976059649,60
"default",15,41,20,25,189.60840239954075,80
"budget",24,35,0,0,466.85093337691774,848.7638069569177
"default",5,10,40,28,395.6567560466866,200
"normal",40,15,28,24,34.15280434135102,93.60909911587912
"default",14,20,20,20,67.79096895832052,30
"default",21,21,10,36,208.54916408247198,90
"default",34,20,30,45,268.8345994045933,130
"normal",20,20,24,30,18.557432700581572,39.53099515295073
"default",48,1,5,44,616.7544183511002,300
"random",40,0,10,37,34.90954400156844,707.8018821334597
"budget",30,40,0,0,548.0715601996906,1000.0
"default",40,2,30,15,168.02679216636795,80
"default",10,21,22,12,157.1708194356714,80
"default",11,20,9,10,107.54036135089211,50
"default",37,25,40,11,145.71486542698264,70
"default",47,3,20,4,277.0881263119547,140
"default",40,38,27,24,208.74578460486677,100
"default",26,21,40,23,145.38864495731974,70
"opportune",10,10,24,24,59.833766816582006,750.6358211069617
"default",24,40,20,15,268.34358846278235,130
"default",24,22,15,41,219.298081256095,110
"default",40,20,31,40,230.74803552873848,110
"default",23,34,10,16,233.99733787032054,110
"default",40,36,24,21,223.8603933620955,110
"default",43,10,31,40,336.1315900821729,160
"default",10,11,20,11,117.8742850305639,50
"default",18,20,46,5,327.0720788781912,160
"default",26,33,40,0,372.49404753506997,180
"default",34,40,40,31,115.00311354825624,50
"normal",20,30,28,24,28.88958630625546,45.44079474932957
"rich",0,10,40,17,55.7896080889661,5.964791967312527
"default",24,29,20,40,138.07795731716814,60
"default",11,24,43,30,344.350586428301,160
"budget",24,15,0,0,321.49624782902646,566.0388679233962
